Series Number,FILE NAME,UUID,Description,,,,HASH
41,kim-rich-aunty,3344a73c-f15e-4afd-a1b2-3199e27eb08f,she loves spoiling her nieces and nephew,,,,
42,barbra-vampire-bc,4f31fd99-4918-42a9-a112-fa60ef36d5c6,she loves drinking the blood of her victims,,,,
43,jean-art-dolger,5e1105d9-e485-462d-a5bf-1eb931976b13,loves collecting art for charity ,,,,
44,flora-burger- eater,054dffd1-cdff-417b-b6c2-a679dabd087b,she loves eating burgers,,,,
45,jessie-lord-rings,caacabe1-0abc-43af-92e2-2231248bff93,she seeks her 'precious',,,,
46,pinky-monky-ponk,bd6a4b38-543e-40fa-9153-f7e1a947ebb1,she love to dance the honky tonk,,,,
47,wanjiru-hippie-glitter,683f0d27-3cb4-4948-b1b5-09f10bee575a,a hippie that loves her glitters,,,,
48,njoki-binary-coder,9b59bdb4-0c6c-4107-9d72-6d38d308edb4,she codes with the best and tops the set,,,,
49,wangu-calaba-hustler,67f7da93-3925-4def-b660-58f558c14a19,she's a mean hustler so be careful,,,,
50,lulu-dey-kpako,23b6c38f-ab84-4565-bfe9-d9eb019c9f29,she's as skinny as she is beautiful,,,,
51,kiki-cala-flier,d24aefff-c9fc-4ea9-a7cf-1b741076c822,she flies first class and gets the best deals,,,,
52,purity-nft -investor,ee86ef77-4793-411a-88d3-ea54d84f6b24,she is an angel investor looking for the next big thing,,,,
53,june-binary-monk,102c4cdb-f812-44fd-bf47-5065284c6075,she has a twin thats from Tibet ,,,,
54,aisha-crows-damsel,c4071af3-b49e-4ad6-898b-7828f90465fb,she is always a damsel in distress,,,,
55,bobo-crypto-lovely,427ea0f5-30a3-4d70-a5bd-a6106409b83c,she is a crpto guru you can trust all through,,,,
56,nell-light -embrace,9dfe30b4-c71a-471c-8091-f5c4a238eed8,she is an empath; ready with a kind word or hug,,,,
57,rachel-mood-silent,11450acd-f0d7-406f-bc18-bdb680404845,"introvert  to the core, a mysterious lady",,,,
58,nana-reflector-agent,63bda633-bfca-4b28-823f-7772936b4103,she loves her chrome fashion stye,,,,
59,bree-busy-gossip,4f5898d9-fc99-4053-a56c-b2ec1ef41347,"never wisper your secrets to her, except you want the world to know",,,,
60,jude-shadow-fighter,a47b2ed7-d4aa-4404-ac40-0ecea464cf3f,"a ninja warrior, the last samurai standing",,,,