Series Number,Current Name,Name,The,Descriptor,New Name,Description,UUID
141,zurinft_frame17-ramsay,Viganem,The,Drummer-girl,viganem-the-drummer-girl,she loves jumping a fence to play drums after school,5a5a6f5c-39f3-4beb-ab74-60d3c7a90fd4
142,zurinft_frame18-fieri,Lenusuka,The, Big-woman,lenusuka-the- big-woman,The lady that loves spending money and buying everybody asaobi,e564a43a-ef77-487d-a88e-749d20a09fd8
143,zurinft_frame19-caines,Enepua,the,clout-queen,enepua-the-clout-queen,The lady that travels all day and enjoys snapping food at restaurants,6dc7e452-0626-4f4c-a28c-f5db3532e305
144,zurinft_frame20-oliver,Usifong,,Queen-of-Mushin,usifong-queen-of-mushin,Changes her hair every 2 weeks and cannot finish one pure water,221263d0-8775-49f8-bbf8-4b08b49e1482
145,zurinft_frame21-flay,Akinyim,The,Agbaya,akinyim-the-agbaya,Always playing with small childrens and mostly small girls,c1070dce-48a1-4ae8-b9a4-d070859a8377
146,zurinft_ zcm2r8c6-laurentiis,Zawadi,Mr,Sleep-Everywhere,zawadi-mr-sleep-everywhere,Likes sleeping in the weirdest places especially in clubs,c22489fe-574b-47f3-9667-c9c798b2d4df
147,zurinft_ zcm2r8c7-stein,Chepkirui,Mr,Self-love,chepkirui-mr-self-love,Likes taking care of himself and spending on himself,1a91e778-d214-476b-a667-94e9ecb8b5ce
148,zurinft_ zcm2r8c8-ray,Naserian,Mr,Fear-Fear,naserian-mr-fear-fear,Has never slept with anyone and can not kill cockroach,8177cf38-8284-4eb4-b19c-04473bcb3b5e
149,zurinft_ zcm2r8c9-puck,Wawuda,The,Ashawo-Of-Africa,wawuda-the-ashawo-of-africa,Brags about his body count and follows skirt anywhere,0554bf35-f588-4009-aafc-ef875b878c29
150,zurinft_ zcm2r8c10-smith,Kerubo,The,Igbo-Smoker,kerubo-the-igbo-smoker,Loves only his igbo and is happy when he finds an old blunt,33ba8e73-7949-4bc7-ba27-37ee1d573946
151,zurinft_ zcm2r9c1-matheson,Rehema,The, Olodo,rehema-the- olodo,Failed primary 5 eight times and like playing football after school,1fb33783-4898-48cf-8a73-f81afc71e1a8
152,zurinft_ zcm2r9c2-guichon,Nekesa,The,brainbox,nekesa-the-brainbox,A proposed elite who cannot write a simple speech,7ba909bd-19a1-454d-a86c-a45e85cb94a6
153,zurinft _ zcm2r9c3-chang,Kiokoli,the,Slowrunner,kiokoli-the-slowrunner,Always running in every race but never making it to the first 5,d7027b6c-ae53-4cce-b80d-67aeb7ceb1ba
154,zurinft_zcm2r9c4-guarnaschelli,Adjuani,uncle,wire-wire,adjuani-uncle-wire-wire,Mugu money spender that loves spending on women extravagantly,36cd959f-d280-41f6-af76-765715c72527
155,zurinft_zcm2r9c5-khanna,Ajobaru,a,serial-killer,ajobaru-a-serial-killer,High end assasin who cannot survive a day without sex,9d262f55-73d7-4b95-9a82-42356dbb085c
156,zurinft_zcm2r9c6-lofaso,Effiadem,the,Fireman,effiadem-the-fireman,A retired military general who always loves shooting at sight,a4534fe0-b5ed-41ab-af72-1f2d0ff0fc64
157,zurinft_zcm2r9c7-goldman,Deladem,the,commandoo,deladem-the-commandoo,The nerd who has watched all war movies but cannot fight a kid,88106b92-da30-46ad-a3cc-d528683b9e33
158,zurinft_zcm2r9c8-galetti,Dogbeda,the,monger,dogbeda-the-monger,A fisherman who pracitically live in the river,66a09968-cb92-4378-a588-49947f68c537
159,zurinft_zcm2r9c9-irvine,Enyonyam,our,slay-mama,enyonyam-our-slay-mama,Posts new pictures everyday and can snub for africa,5e7c7f9d-d631-4759-9b27-cbaccd33d39f
160,zurinft_zcm2r9c10-torode,Lumusi,,Pro-technician,lumusi-pro-technician,The electrician well known for wiring burnt buildings,b07676a6-c611-410d-8426-46c9c525189a
,,,,,,,
,,,,,,,
,LINK TO NFT DRIVE,,,,,,
,https://drive.google.com/drive/folders/1kpqwGVDf989Em_0cxVt145ObH_fXqEso,,,,,,