Series Number,Filename,Descriptor,Gender,UUID
61,toy-soldier,a man stronger than an army,male,fc8ea3ac-59d1-11ed-9b6a-0242ac120002
62,pipey-rivers,a man who loves the water so much and fixes its path,male,58f69cae-59d1-11ed-9b6a-0242ac120002
63,phiri-of-zambia,an african woman with strength and beauty,female,24b537fa-59d3-11ed-9b6a-0242ac120002
64,patrick-of-bikinibottom,a white man who loves the African culture and associates with their dressing,male,064c7b84-59d3-11ed-9b6a-0242ac120002
65,nobuhle-of-zulu,a woman well endowed with beauty,female,1ee5b1ce-59d3-11ed-9b6a-0242ac120002
66,nkosazana-of-xhosa,an african princess always proud of her culture,female,2f1a1724-59d3-11ed-9b6a-0242ac120002
67,mandla-of-zulu,a simple and an introvert who keeps to himself,male,d04553b2-59d7-11ed-9b6a-0242ac120002
68,john-doe,a principled guy who is conscious of his health and ensures protection from infection,male,5d19795e-59d2-11ed-9b6a-0242ac120002
69,ghost-of-power,a woman stronger than ten men combined,female,29c764ca-59d3-11ed-9b6a-0242ac120002
70,freida,a man who is always peaceful,male,ee671c4a-59d2-11ed-9b6a-0242ac120002
71,flamboyant-tree,beautiful african woman,female,380e4990-59d3-11ed-9b6a-0242ac120002
72,david-of-accra,a combatant who fights and defends his people,male,1c1ef1b4-59d1-11ed-9b6a-0242ac120002
73,cally-lily,a man who is a breath of fresh air,male,82bba87c-59d1-11ed-9b6a-0242ac120002
74,bubune-of-accra,"a man with honor, always conscious of his health",male,faa4b530-59d2-11ed-9b6a-0242ac120002
75,bediako-of-accra,a strong man always ready to fight for what is right,male,fb6e8222-59d0-11ed-9b6a-0242ac120002
76,avatar-aang,a man who is ready to save the world,male,169f93a0-59d2-11ed-9b6a-0242ac120002
77,argus-greek,a man who feels like an outcast an always has a battle with his mind,male,e7f26b26-59d2-11ed-9b6a-0242ac120002
78,amahle-of-zulu,"A traditional man, feeling fulfilled",male,169f93a0-59d2-11ed-9b6a-0242ac120002
79,agnar-ole,a man who feels like an outcast and always has a battle with his mind,male,f3f11fd0-59d2-11ed-9b6a-0242ac120002
80,adom-kulu,"a Ghanaian model, proud of his culture",male,00f6589e-59d3-11ed-9b6a-0242ac120002